q_a,label
@SevilZadeh Next time try the truth instead of Taqiyya. http://t.co/aXuT34vhZN,0
@waddup247 You get hit in the face with the facts about Muslims and that is your stupid response? http://t.co/0dEDsjbaNW,0
@MollyTetsuya Nothing but an idiotic headline.,0
RT @tsnorway: The difference between crime and punishment by ISIS and by Saudi Arabia? #daesh #Saudi #ShariaLaw #humanrights http://t.co/zW…,0
@aymannathem These are the animals you want us to feel sorry for. http://t.co/7QocbBXrNG,0
@ColdKurd I'm surprised that they still have any tanks left.,0
Now the Daesh must either reinforce Kobane or loose it.  So the coalition must protect the roads into Kobane against reinforcement.,0
What does Colin and the rest of the table taste and see that we don't? I thought #KillerBlondes murdered their instant restaurant #MKR,0
"@_blackglass__ @curdistani @dumuzi1969 You will never get into Afrin, microbrain.  The chlorine gas was yours.",0
Someone should deconstruct Will!,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
.,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
LABEL: notAbusive,0
http://t.co/CbCR9u4FC9 http://t.co/Qv…,0
@dandiedinmont @Number10gov He will make an inane speech about religious tolerance and avoid facing the problem.,0
@watan71969 @s_rsantorini630 @pari_passu Blocked!,0
@edgeofthesandbx @batchelorshow @FearDept And why do you side with people who admire an even bigger genocidal maniac in Stalin?,0
@shehzilk @watan71969 Obviously you are too dumb to know what was going on in India at the time of that statement.,0
"@TRobinsonNewEra @OZzSue @BBCNews Since Erdogan came to power, employment among Turkish women has fallen 30%.",0
The Egyptians were smart enough to throw Morsi out of office when he began illegal power grabs. Turks should do same with #Erogan. #Turkey,0
"@jukes303 So you always hear people claim that oil is the US motivation, but there is never a rational argument for how....",0
@EdWardMDBlog @haaretzcom Are the Daesh Libya?,0
"@sibelo76 Oh, please don't give me a link to Harun Yahya's silliness. I've already seen it.",0
@ZiOrim @_Median_ @RushetteNY @Banko40 I hope you are not talking about the Kurds. Their aid to minority groups has been incredible.,0
"@anjemchoudary @TwtS_Re_Tweet_0 People have no right not to be insulted by others free speech. If they did, there would be no free speech.",0
RT @pulpark: Possible Solutions to the Problem of the Public's General Lack of Knowledge About Islam http://t.co/t6C5Ur1Swe #Mo #tcot #sioa…,0
@NFZSyria And do you know why that is?,0
"@GBabeuf @NewsCoverUp @RJennromao @DavidJo52951945 @Novorossiyan @gbazov @rougek68 Being shit yourself, you have no room to talk.",0
"Yep, they are just as pretty as that plate. All the pieces are there, just not put together properly #MKR",0
@MillerMENA Why is anyone surprised that Putin had Nemtsov shot. Putin bombed Russian apartment buildings to start the Chechen war.,0
@DerekBisaccio It remains to be seen if they can hold Hasakah in any meaningful way.,0
"@congressman_aly The random rockets are flying in the other direction, lying scum.",0
RT @F8ter4Justice: Thank you for all the Modern/moderate muslims for standing up to the radicals &amp; tyrants. Thank you for speaking up! http…,0
@BDSSupporter Did you just get that brain out of a cracker jacks box? http://t.co/kRaFx37dXb,0
@ardiem1m @MaxBlumenthal @oldkhayyam The Jews were settled on 40% of the Arabian peninsula before Mohammed started exterminating them.,0
@greenlinerzjm Tell me how old you are. I don't want to be here attacking a child about her religion.,0
"@asem_1994 Go to Wiki and read the section about the attack on Karbala. http://t.co/HiJHAE8l00 Search ""scaled the walls""",0
@urgedharry @nyazpolitics @greenlinerzjm Then why doesn't she know that her prophet called women stupid and corrupt.,0
"@halalflaws @biebervalue @greenlinerzjm Again, you present your Imam's propaganda. You have no Hadiths or verses.",0
We won't feel gutted if Lynne and Tony beat you. I want to beat you...with a stick. #mkr,0
"@AMohedin And it tells women not to display themselves, right?",0
@AMohedin @halalflaws @islamdefense @haroonstyles @greenlinerzjm Why?,0
@AMohedin @halalflaws @haroonstyles @islamdefense @greenlinerzjm I've got 4 translations that say hit and one that says scourge.,0
@AMohedin @halalflaws @haroonstyles @islamdefense @greenlinerzjm The translations are on a Muslim web site and they say strike.,0
@Kaya786 @fai3an_H And I don't walk in circles around a black meteor in Mecca under the delusion that it will please god.,0
@AmareshMisraFC @NafeezAhmed @UK_CAGE @ahsan_jehangir Stupid article devoid of facts or reason.,0
"@MaxBlumenthal @Campagnebds P. ""Can you identify these Zionist thugs Mr. Blumenthal?""  B. ""My Mother.""",0
@MaxBlumenthal Did you corner them in a toilet and threaten to talk them to death?,0
"@harmlesstree2 @MaxBlumenthal No, idiot. They were completely exterminated on the majority of the Arabian Pennisula.",0
@harmlesstree2 Here. Look at this and shut your mouth until you do because there is nothing coming out. https://t.co/xWJzpSodGj,0
@harmlesstree2 Here5 https://t.co/xWJzpSodGj,0
Pretty? Er......no. #MKR,0
"@Assiye61 @MaxBlumenthal And it's not a race between Bible and Quran, but rather between secular humanitarianism and Quran.",0
"@pNibbler @AlterNet @MaxBlumenthal They support the death penalty for murder, not for leaving Christianity.",0
@pNibbler @AlterNet @MaxBlumenthal The US implemented separation of church and state at a time when US was far more Christian than today.,0
"@mutaSawwif @TawheedNetwork_ No, it's not about a load of philosophical bullshit, it's about this. http://t.co/Oxw07a1VYc",0
@roisin_morgan @RaniaKhalek How do you know that the picture is not just a part of Palestines planned propaganda war?,0
"@roisin_morgan @RaniaKhalek These are the people that behead gays, do honor killing and want to exterminate Israel.  I could care what ....",0
"@AnasMechch The question is if civilians are being targeted, not if that are getting some colateral damage.",0
@dankmtl @PeaceNotHate_ Got some evidence for that?,0
@HoosierJason @ciomdx @JameelJaffer @ggreenwald And there is nothing wrong with stoping the Muslim genocide of non Muslims.,0
@hayleyjoness Why...?,0
"@Noodle_Nobody Actually, no.",0
@ZionHorst @egyptinparadise Love that sketch.,0
"@ThelmaSleaze ...such as crafts (needlepoint, sewing, knitting) or gymnastics, where women typically outperform men.",0
"@ThelmaSleaze &amp; there r no arguments like ""men just can't outdo women because their bodies aren't up to the task"" in these activities",0
"I have to give @OliPaterson the honor of making me laugh so hard I cried today. Wow, the blockheadedness is strong in this one.",0
"And he's an author. You know, someone who needs empathy to perform his job. http://t.co/mQeFE8SuH0",0
Excellentttt http://t.co/dnMy4EbAlU,0
Since some people apparently suffer from sexism AND americanexceptionalism (we're still trying to find a cure): http://t.co/M37E1aVS3P,0
"It is unconscionable that our regulatory bodies are so transparently in bed with corporate interests, and that they think we won't notice.",0
"RT @karentozzi: #YesAllWomen were told to yell ""FIRE"" instead of ""RAPE"" because people would be more likely to respond.",0
Internalized misogyny makes me the saddest @Annie_FannieXU @Kid_Frankie_614 I'm not sexist but... Women can't drive.,0
"White people and culturally appropriative ""spirituality"" (I'M TALKING TO YOU YOGA ENTHUSIASTS), just stop",0
@AtheistRaven Look as long as he had a frog penis we can agree that it is not an unacceptable change in character,0
Don't make me fucking dig out the oppression pyramid again oop here it is dammit http://t.co/a1ukOk4E1W,0
